"GO","GO_definition","GO_ontology","GO_term"
"GO:0010039","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus.","BP","response to iron ion"
"GO:0015688",NA,NA,NA
"GO:0051980","Enables the transfer of the iron chelate iron-nicotianamine (Fe-NA) from one side of a membrane to the other.","MF","iron-nicotianamine transmembrane transporter activity"
"GO:0004521","Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.","MF","endoribonuclease activity"
"GO:0005328","Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: neurotransmitter(out) + Na+(out) = neurotransmitter(in) + Na+(in).","MF","neurotransmitter:sodium symporter activity"
"GO:0005368","Enables the transfer of taurine from one side of a membrane to the other. Taurine (2-aminoethanesulfonic acid) is a sulphur-containing amino acid derivative which is important in the metabolism of fats.","MF","taurine transmembrane transporter activity"
"GO:0005369","Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: taurine(out) + Na+(out) = taurine(in) + Na+(in).","MF","taurine:sodium symporter activity"
"GO:0015734","The directed movement of taurine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","taurine transport"
"GO:0030977","Interacting selectively and non-covalently with taurine.","MF","taurine binding"
"GO:0017080","Modulates the activity of a sodium channel.","MF","sodium channel regulator activity"
"GO:2000649",NA,"BP","regulation of sodium ion transmembrane transporter activity"
"GO:0071457","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a ozone stimulus.","BP","cellular response to ozone"
"GO:0071484","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus.","BP","cellular response to light intensity"
"GO:0071486","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a high light intensity stimulus.","BP","cellular response to high light intensity"
"GO:0071493","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-B radiation stimulus. UV-B radiation (UV-B light) spans the wavelengths 280 to 315 nm.","BP","cellular response to UV-B"
"GO:0097367","Interacting selectively and non-covalently with a carbohydrate derivative.","MF","carbohydrate derivative binding"
"GO:1901135",NA,"BP","carbohydrate derivative metabolic process"
"GO:0050518","Catalysis of the reaction: 2-C-methyl-D-erythritol 4-phosphate + CTP = 4-CDP-2-C-methyl-D-erythritol + diphosphate.","MF","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity"
"GO:0070567","Catalysis of the transfer of a cytidylyl group to an acceptor.","MF","cytidylyltransferase activity"
"GO:0007088","Any process that modulates the frequency, rate or extent of mitosis.","BP","regulation of mitotic nuclear division"
"GO:0045835","Any process that stops, prevents, or reduces the frequency, rate or extent of meiosis.","BP","negative regulation of meiotic nuclear division"
"GO:0034227","The addition a sulfur atom to a nucleotide in a tRNA molecule.","BP","tRNA thio-modification"
"GO:0052837","The chemical reactions and pathways resulting in the formation of a thiazole, a five-membered heterocyclic ring structure containing a sulfur in the 1-position and a nitrogen in the 3-position.","BP","thiazole biosynthetic process"
"GO:0005319","Enables the directed movement of lipids into, out of or within a cell, or between cells.","MF","lipid transporter activity"
"GO:0009626","The rapid, localized death of plant cells in response to invasion by a pathogen.","BP","plant-type hypersensitive response"
"GO:0008821","Catalysis of the endonucleolytic cleavage at a junction such as a reciprocal single-stranded crossover between two homologous DNA duplexes (Holliday junction).","MF","crossover junction endodeoxyribonuclease activity"
"GO:0070008","Catalysis of the hydrolysis of a peptide bond not more than three residues from the N- or C-terminus of a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine).","MF","serine-type exopeptidase activity"
"GO:0004560","Catalysis of the reaction: an alpha-L-fucoside + H2O = an alcohol + L-fucose.","MF","alpha-L-fucosidase activity"
"GO:0006637","The chemical reactions and pathways involving acyl-CoA, any derivative of coenzyme A in which the sulfhydryl group is in thiolester linkage with an acyl group.","BP","acyl-CoA metabolic process"
"GO:0047617","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate.","MF","acyl-CoA hydrolase activity"
"GO:0006879","Any process involved in the maintenance of an internal steady state of iron ions at the level of a cell.","BP","cellular iron ion homeostasis"
"GO:0012510","The lipid bilayer surrounding a vesicle transporting substances between the trans-Golgi network and other parts of the cell.","CC","trans-Golgi network transport vesicle membrane"
"GO:0060003","The directed movement of copper ions out of a cell or organelle.","BP","copper ion export"
"GO:0004794","Catalysis of the reaction: L-threonine = 2-oxobutanoate + NH3.","MF","L-threonine ammonia-lyase activity"
"GO:0008200","Stops, prevents, or reduces the activity of an ion channel.","MF","ion channel inhibitor activity"
"GO:0043190","A complex for the transport of metabolites into and out of the cell, typically comprised of four domains; two membrane-associated domains and two ATP-binding domains at the intracellular face of the membrane, that form a central pore through the plasma membrane. Each of the four core domains may be encoded as a separate polypeptide or the domains can be fused in any one of a number of ways into multidomain polypeptides. In Bacteria and Archaebacteria, ABC transporters also include substrate binding proteins to bind substrate external to the cytoplasm and deliver it to the transporter.","CC","ATP-binding cassette (ABC) transporter complex"
"GO:0010223","The process that gives rise to secondary (or auxiliary or axillary) shoots in plants. This process pertains to the initial formation of a structure from unspecified parts. These secondary shoots originate from secondary meristems initiated in the axils of leaf primordia. Axillary meristems function like the shoot apical meristem of the primary shoot initating the development of lateral organs.","BP","secondary shoot formation"
"GO:0016121","The chemical reactions and pathways resulting in the breakdown of carotenes, hydrocarbon carotenoids.","BP","carotene catabolic process"
"GO:1901601",NA,"BP","strigolactone biosynthetic process"
"GO:0010492","The process in which an organism retains a population of shoot apical meristem cells, preventing the commitment of all stem cell progeny to a differentiated cell fate.","BP","maintenance of shoot apical meristem identity"
"GO:0016246","The process in which double-stranded RNAs silence cognate genes. Involves posttranscriptional gene inactivation ('silencing') both of transgenes or dsRNA introduced into a germline, and of the host gene(s) homologous to the transgenes or dsRNA. This silencing is triggered by the introduction of transgenes or double-stranded RNA (dsRNA), and can occur through a specific decrease in the level of mRNA, or by negative regulation of translation, of both host genes and transgenes.","BP","RNA interference"
"GO:0016835","Catalysis of the breakage of a carbon-oxygen bond.","MF","carbon-oxygen lyase activity"
"GO:0017001","The chemical reactions and pathways resulting in the breakdown of antibiotic, a substance produced by or derived from certain fungi, bacteria, and other organisms, that can destroy or inhibit the growth of other microorganisms.","BP","antibiotic catabolic process"
"GO:0003856","Catalysis of the reaction: 7-phospho-2-dehydro-3-deoxy-D-arabino-heptonate = 3-dehydroquinate + phosphate.","MF","3-dehydroquinate synthase activity"
"GO:0016838","Catalysis of the cleavage of a carbon-oxygen bond by elimination of a phosphate.","MF","carbon-oxygen lyase activity, acting on phosphates"
"GO:0055029","A protein complex, located in the nucleus, that possesses DNA-directed RNA polymerase activity.","CC","nuclear DNA-directed RNA polymerase complex"
"GO:0045595","Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features.","BP","regulation of cell differentiation"
"GO:0051302","Any process that modulates the frequency, rate or extent of the physical partitioning and separation of a cell into daughter cells.","BP","regulation of cell division"
"GO:0080060","The process whose specific outcome is the progression of the integument over time, from its formation to the mature structure. Integument is one of the layers of tissue that usually covers the ovule, enveloping the nucellus and forming the micropyle at the apex.","BP","integument development"
"GO:0080155","Any process that modulates the rate, frequency or extent of double fertilization forming a zygote and endosperm. Double fertilization forming a zygote and endosperm is a type of fertilization where one of the two sperm nuclei from the pollen tube fuses with the egg nucleus to form a 2n zygote, and the other fuses with the two polar nuclei to form the 3n primary endosperm nucleus and then develops into the endosperm. The ploidy level of the 2n zygote and 3n primary endosperm nucleus is determined by the ploidy level of the parents involved. An example of this component is found in Arabidopsis thaliana.","BP","regulation of double fertilization forming a zygote and endosperm"
"GO:2000029",NA,"BP","regulation of proanthocyanidin biosynthetic process"
"GO:0004766","Catalysis of the reaction: S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine.","MF","spermidine synthase activity"
"GO:0006595","The chemical reactions and pathways involving polyamines, any organic compound containing two or more amino groups.","BP","polyamine metabolic process"
"GO:0070569","Catalysis of the transfer of an uridylyl group to an acceptor.","MF","uridylyltransferase activity"
"GO:0008734","Catalysis of the reaction: L-aspartate + O2 = iminosuccinate + hydrogen peroxide.","MF","L-aspartate oxidase activity"
"GO:0044318","Catalysis of the reaction: L-aspartate + fumarate = alpha-iminosuccinate + succinate.","MF","L-aspartate:fumarate oxidoreductase activity"
"GO:0000310","Catalysis of the reaction: 5-phospho-alpha-D-ribose 1-diphosphate + xanthine = (9-D-ribosylxanthine)-5'-phosphate + diphosphate.","MF","xanthine phosphoribosyltransferase activity"
"GO:0032265","Any process which produces xanthosine monophosphate from derivatives of it, without de novo synthesis.","BP","XMP salvage"
"GO:0035097","A multimeric complex that is able to catalyze the addition of methyl groups to histone proteins.","CC","histone methyltransferase complex"
"GO:0044666","A protein complex that can methylate lysine-4 of histone H3, and which contains either of the protein subunits MLL3 or MLL4 in mammals, or equivalent in other species.","CC","MLL3/4 complex"
"GO:0045652","Any process that modulates the frequency, rate or extent of megakaryocyte differentiation.","BP","regulation of megakaryocyte differentiation"
"GO:0005838","A multisubunit complex, which caps one or both ends of the proteasome core complex. This complex recognizes and unfolds ubiquitinated proteins, and translocates them to the proteasome core complex.","CC","proteasome regulatory particle"
"GO:0004109","Catalysis of the reaction: coproporphyrinogen III + 2 H(+) + O(2) = 2 CO(2) + 2 H(2)O + protoporphyrinogen IX.","MF","coproporphyrinogen oxidase activity"
"GO:0000303","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a superoxide stimulus. Superoxide is the anion, oxygen-, formed by addition of one electron to dioxygen (O2) or any compound containing the superoxide anion.","BP","response to superoxide"
"GO:0001666","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level.","BP","response to hypoxia"
"GO:0002240","Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus by molecules of oomycetes origin.","BP","response to molecule of oomycetes origin"
"GO:0008219","Any biological process that results in permanent cessation of all vital functions of a cell. A cell should be considered dead when any one of the following molecular or morphological criteria is met: (1) the cell has lost the integrity of its plasma membrane; (2) the cell, including its nucleus, has undergone complete fragmentation into discrete bodies (frequently referred to as apoptotic bodies). The cell corpse (or its fragments) may be engulfed by an adjacent cell in vivo, but engulfment of whole cells should not be considered a strict criteria to define cell death as, under some circumstances, live engulfed cells can be released from phagosomes (see PMID:18045538).","BP","cell death"
"GO:0009862","The series of molecular signals mediated by salicylic acid involved in systemic acquired resistance.","BP","systemic acquired resistance, salicylic acid mediated signaling pathway"
"GO:0010104","Any process that modulates the frequency, rate or extent of ethylene (ethene) signal transduction.","BP","regulation of ethylene-activated signaling pathway"
"GO:0010310","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving hydrogen peroxide.","BP","regulation of hydrogen peroxide metabolic process"
"GO:0010602","Regulation of the chemical reactions and pathways involving 1-aminocyclopropane-1-carboxylate, the anion of 1-aminocyclopropane-1-carboxylic acid, a natural product found in plant tissues. It is a key intermediate in the biosynthesis of ethylene (ethene), a fruit-ripening hormone in plants.","BP","regulation of 1-aminocyclopropane-1-carboxylate metabolic process"
"GO:0010618","The process that gives rise to aerenchyma, parenchyma tissue containing particularly large intercellular spaces of schizogenous or lysigenous origin. This process pertains to the initial formation of a structure from unspecified parts.","BP","aerenchyma formation"
"GO:0019988","The covalent alteration of an amino acid charged on a tRNA before it is incorporated into a protein, as in N-formylmethionine, selenocysteine or pyrrolysine.","BP","charged-tRNA amino acid modification"
"GO:0043399","Catalysis of the transfer of a phosphoribosyl group from 5'-phosphoribosyl-1'-pyrophosphate to position 64 of initiator tRNA.","MF","tRNA A64-2'-O-ribosylphosphate transferase activity"
"GO:0016795","Catalysis of the hydrolysis of a phosphoric triester.","MF","phosphoric triester hydrolase activity"
"GO:0016805","Catalysis of the hydrolysis of a dipeptide.","MF","dipeptidase activity"
"GO:0102009","Catalysis of the reaction: H2O + a dipeptide with proline at the C-terminal <=> L-proline + a standard alpha amino acid.","MF","proline dipeptidase activity"
"GO:0005534","Interacting selectively and non-covalently with the aldohexose galactose (galacto-hexose), a common constituent of many oligo- and polysaccharides.","MF","galactose binding"
"GO:0004042","Catalysis of the reaction: L-glutamate + acetyl-CoA = N-acetyl-L-glutamate + CoA + H(+).","MF","acetyl-CoA:L-glutamate N-acetyltransferase activity"
"GO:0004358","Catalysis of the reaction: N(2)-acetyl-L-ornithine + L-glutamate = N-acetyl-L-glutamate + L-ornithine.","MF","glutamate N-acetyltransferase activity"
"GO:0103045","Catalysis of the reaction: L-methionine  + acetyl-CoA = N-acetyl-L-methionine + coenzyme A + H+.","MF","methione N-acyltransferase activity"
"GO:0010165","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of X-ray radiation. An X-ray is a form of electromagnetic radiation with a wavelength in the range of 10 nanometers to 100 picometers (corresponding to frequencies in the range 30 PHz to 3 EHz).","BP","response to X-ray"
"GO:0015846","The directed movement of polyamines, organic compounds containing two or more amino groups, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","polyamine transport"
"GO:0019808","Interacting selectively and non-covalently with polyamines, organic compounds containing two or more amino groups.","MF","polyamine binding"
"GO:0016688","Catalysis of the reaction: L-ascorbate + hydrogen peroxide = dehydroascorbate + 2 H2O.","MF","L-ascorbate peroxidase activity"
"GO:0016471","A proton-transporting two-sector ATPase complex found in the vacuolar membrane, where it acts as a proton pump to mediate acidification of the vacuolar lumen.","CC","vacuolar proton-transporting V-type ATPase complex"
"GO:0051020","Interacting selectively and non-covalently with a GTPase, any enzyme that catalyzes the hydrolysis of GTP.","MF","GTPase binding"
"GO:0009916","Catalysis of the oxidation of ubiquinol by diverting electrons from the standard electron transfer chain, transferring them from ubiquinol to oxygen and generating water as the product.","MF","alternative oxidase activity"
"GO:0102721","Catalysis of the reaction: O2 + 2 an ubiquinol = 2 H2O + 2 an ubiquinone.","MF","ubiquinol:oxygen oxidoreductase activity"
"GO:0097027","Increases the activity of a ubiquitin-protein transferase, an enzyme that catalyzes the covalent attachment of ubiquitin to lysine in a substrate protein.","MF","ubiquitin-protein transferase activator activity"
"GO:1904668",NA,"BP","positive regulation of ubiquitin protein ligase activity"
"GO:0015369","Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Ca2+(in) + H+(out) = Ca2+(out) + H+(in).","MF","calcium:proton antiporter activity"
"GO:0004097","Catalysis of the reaction: 2 catechol + O2 = 2 1,2-benzoquinone + 2 H2O.","MF","catechol oxidase activity"
"GO:0046148","The chemical reactions and pathways resulting in the formation of a pigment, any general or particular coloring matter in living organisms, e.g. melanin.","BP","pigment biosynthetic process"
"GO:0030942","Interacting selectively and non-covalently with an endoplasmic reticulum signal peptide, a specific peptide sequence that acts as a signal to localize the protein within the endoplasmic reticulum.","MF","endoplasmic reticulum signal peptide binding"
"GO:0044823","Catalysis of the covalent insertion of double-stranded retroviral DNA into host DNA. Proceeds by an endonucleolytic cleavage at each 3'-OH extremity of the viral genome, named 3'-processing, followed by a strand transfer reaction leading to the insertion of the processed viral DNA into the target DNA by a trans-esterification mechanism.","MF","retroviral integrase activity"
"GO:0004764","Catalysis of the reaction: shikimate + NADP+ = 3-dehydroshikimate + NADPH + H+.","MF","shikimate 3-dehydrogenase (NADP+) activity"
"GO:0019632","The chemical reactions and pathways involving shikimate, (3R,4S,5R)--3,4,5-trihydroxycyclohex-1-ene-1-carboxylate, the anion of shikimic acid. It is an important intermediate in the biosynthesis of aromatic amino acids.","BP","shikimate metabolic process"
"GO:0005930","The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements.","CC","axoneme"
"GO:0007368","The establishment of an organism's body plan or part of an organism with respect to the left and right halves. The pattern can either be symmetric, such that the halves are mirror images, or asymmetric where the pattern deviates from this symmetry.","BP","determination of left/right symmetry"
"GO:0060285","Cell motility due to the motion of one or more eukaryotic cilia. A eukaryotic cilium is a specialized organelle that consists of a filiform extrusion of the cell surface. Each cilium is bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored basally in a centriole.","BP","cilium-dependent cell motility"
"GO:0070286","The aggregation, arrangement and bonding together of a set of components to form an axonemal dynein complex, a dynein complex found in eukaryotic cilia and flagella, in which the motor domain heads interact with adjacent microtubules to generate a sliding force which is converted to a bending motion.","BP","axonemal dynein complex assembly"
"GO:0010494","A dense aggregation in the cytosol composed of proteins and RNAs that appear when the cell is under stress.","CC","cytoplasmic stress granule"
"GO:0050373","Catalysis of the reaction: UDP-L-arabinose = UDP-alpha-D-xylose.","MF","UDP-arabinose 4-epimerase activity"
"GO:1900459",NA,"BP","positive regulation of brassinosteroid mediated signaling pathway"
"GO:0016320","The joining of 2 or more lipid bilayer membranes that surround the endoplasmic reticulum.","BP","endoplasmic reticulum membrane fusion"
"GO:0032541","A cortical network of highly dynamic tubules that are juxtaposed to the plasma membrane and undergo ring closure and tubule-branching movements.","CC","cortical endoplasmic reticulum"
"GO:0048309","The partitioning of endoplasmic reticulum between daughter cells at cell division.","BP","endoplasmic reticulum inheritance"
"GO:0071944","The part of a cell encompassing the cell cortex, the plasma membrane, and any external encapsulating structures.","CC","cell periphery"
"GO:0033567","The DNA metabolic process, occurring during lagging strand synthesis, by which RNA primers are removed from Okazaki fragments, the resulting gaps filled by DNA polymerization, and the ends ligated to form a continuous strand.","BP","DNA replication, Okazaki fragment processing"
"GO:0043142",NA,NA,NA
"GO:0004378","Catalysis of the reaction: beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc-diphosphodolichol + GDP-alpha-D-mannose = alpha-D-Man-(1->3)-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-D-GlcNAc-diphosphodolichol + GDP + H+. This reaction is the transfer of an alpha-D-mannosyl residue from GDP-mannose into lipid-linked oligosaccharide, forming an alpha-(1->3)-D-mannosyl-D-mannose linkage.","MF","GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity"
"GO:0097502","The covalent attachment of a mannose residue to a substrate molecule.","BP","mannosylation"
"GO:0050474","Catalysis of the reaction: 4-(2-aminoethyl)benzene-1,2-diol + 4-hydroxyphenylacetaldehyde = (S)-norcoclaurine + H2O.","MF","(S)-norcoclaurine synthase activity"
"GO:0009787","Any process that modulates the frequency, rate or extent of abscisic acid (ABA) signaling.","BP","regulation of abscisic acid-activated signaling pathway"
"GO:0009965","The process in which the anatomical structures of the leaf are generated and organized.","BP","leaf morphogenesis"
"GO:0010928","Any process that modulates the rate, frequency or extent of auxin mediated signaling pathway. Auxin mediated signaling pathway is the series of molecular signals generated in response to detection of auxin.","BP","regulation of auxin mediated signaling pathway"
"GO:0031538","Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving anthocyanins.","BP","negative regulation of anthocyanin metabolic process"
"GO:0071215","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an abscisic acid stimulus.","BP","cellular response to abscisic acid stimulus"
"GO:0080178","The chemical reactions and pathways involving the addition of a  5-carbamoylmethyl group to a uridine residue in RNA.","BP","5-carbamoylmethyl uridine residue modification"
"GO:2000024",NA,"BP","regulation of leaf development"
"GO:0004611","Catalysis of the reaction: source of phosphate + oxaloacetate = phosphoenolpyruvate + CO2 + other reaction products.","MF","phosphoenolpyruvate carboxykinase activity"
"GO:0004612","Catalysis of the reaction: ATP + oxaloacetate = ADP + CO(2) + H(+) + phosphoenolpyruvate.","MF","phosphoenolpyruvate carboxykinase (ATP) activity"
"GO:0017076","Interacting selectively and non-covalently with purine nucleotides, any compound consisting of a purine nucleoside esterified with (ortho)phosphate.","MF","purine nucleotide binding"
"GO:0003881","Catalysis of the reaction: myo-inositol + CDP-diacylglycerol = 1-phosphatidyl-1D-myo-inositol + CMP + H(+).","MF","CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity"
"GO:0004413","Catalysis of the reaction: L-homoserine + ATP = O-phospho-L-homoserine + ADP + 2 H(+).","MF","homoserine kinase activity"
"GO:0004623","Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.","MF","phospholipase A2 activity"
"GO:0050482","The controlled release of arachidonic acid from a cell or a tissue.","BP","arachidonic acid secretion"
"GO:0036094","Interacting selectively and non-covalently with a small molecule, any low molecular weight, monomeric, non-encoded molecule.","MF","small molecule binding"
"GO:0044599","An AP-type membrane coat adaptor complex that in humans consists of beta5, zeta, mu5 and sigma5 subunits and is found associated with membranes in the endosomes; it is not clear whether AP-5 forms clathrin coats in vivo.","CC","AP-5 adaptor complex"
"GO:0032420","An actin-based protrusion from the apical surface of auditory and vestibular hair cells and of neuromast cells. These protrusions are supported by a bundle of cross-linked actin filaments (an actin cable), oriented such that the plus (barbed) ends are at the tip of the protrusion, capped by a tip complex which bridges to the plasma. Bundles of stereocilia act as mechanosensory organelles.","CC","stereocilium"
"GO:0032421","A bundle of cross-linked stereocilia, arranged around a kinocilium on the apical surface of a sensory hair cell (e.g. a neuromast, auditory or vestibular hair cell). Stereocilium bundles act as mechanosensory organelles by responding to fluid motion or fluid pressure changes.","CC","stereocilium bundle"
"GO:0048365","Interacting selectively and non-covalently with Rac protein, any member of the Rac subfamily of the Ras superfamily of monomeric GTPases.","MF","Rac GTPase binding"
"GO:0060326","The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis).","BP","cell chemotaxis"
"GO:1904694",NA,"BP","negative regulation of vascular smooth muscle contraction"
"GO:1904754",NA,"BP","positive regulation of vascular associated smooth muscle cell migration"
"GO:0031224","The component of a membrane consisting of the gene products having some covalently attached portion, for example part of a peptide sequence or some other covalently attached group such as a GPI anchor, which spans or is embedded in one or both leaflets of the membrane.","CC","intrinsic component of membrane"
"GO:0071617","Catalysis of the transfer of acyl groups from an acyl-CoA to a lysophospholipid.","MF","lysophospholipid acyltransferase activity"
"GO:0042318","The chemical reactions and pathways resulting in the formation of any antibiotic that contains the condensed beta-lactamthiazolidine ring system.","BP","penicillin biosynthetic process"
"GO:0071467","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pH stimulus. pH is a measure of the acidity or basicity of an aqueous solution.","BP","cellular response to pH"
"GO:1900198",NA,"BP","positive regulation of penicillin biosynthetic process"
"GO:1900376",NA,"BP","regulation of secondary metabolite biosynthetic process"
"GO:0052914","Catalysis of the reaction: S-adenosyl-L-methionine + guanosine(1207) in 16S rRNA = N(2)-methylguanosine(1207) in 16S rRNA + S-adenosyl-L-homocysteine.","MF","16S rRNA (guanine(1207)-N(2))-methyltransferase activity"
"GO:0004592","Catalysis of the reaction: ATP + (R)-pantoate + beta-alanine = AMP + diphosphate + (R)-pantothenate.","MF","pantoate-beta-alanine ligase activity"
"GO:0015940","The chemical reactions and pathways resulting in the formation of pantothenate, the anion of pantothenic acid. It is a B complex vitamin that is a constituent of coenzyme A and is distributed ubiquitously in foods.","BP","pantothenate biosynthetic process"
"GO:0000246","Catalysis of the reaction: ergosterol + NADP(+) = ergosta-5,7,22,24(24(1))-tetraen-3beta-ol + H(+) + NADPH.","MF","delta24(24-1) sterol reductase activity"
"GO:0006695","The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.","BP","cholesterol biosynthetic process"
"GO:0007265","A series of molecular signals within the cell that are mediated by a member of the Ras superfamily of proteins switching to a GTP-bound active state.","BP","Ras protein signal transduction"
"GO:0009888","The process whose specific outcome is the progression of a tissue over time, from its formation to the mature structure.","BP","tissue development"
"GO:0016628","Catalysis of an oxidation-reduction (redox) reaction in which a CH-CH group acts as a hydrogen or electron donor and reduces NAD or NADP.","MF","oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor"
"GO:0030539","The process whose specific outcome is the progression of the male genitalia over time, from its formation to the mature structure.","BP","male genitalia development"
"GO:0031639","The process in which inactive plasminogen is processed to active plasmin. This process includes cleavage at an internal Arg-Val site to form an N-terminal A-chain and C-terminal B-chain held together by a disulfide bond, and can include further proteolytic cleavage events to remove the preactivation peptide.","BP","plasminogen activation"
"GO:0042987","The chemical reactions and pathways resulting in the breakdown of amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease.","BP","amyloid precursor protein catabolic process"
"GO:0043588","The process whose specific outcome is the progression of the skin over time, from its formation to the mature structure. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner vascular dermis (cutis, corium or true skin) composed mostly of connective tissue.","BP","skin development"
"GO:0050614","Catalysis of the reaction: NADP+ + 5-alpha-cholest-7-en-3-beta-ol = NADPH + H+ + 5-alpha-cholesta-7,24-dien-3-beta-ol.","MF","delta24-sterol reductase activity"
"GO:0004013","Catalysis of the reaction: S-adenosyl-L-homocysteine + H2O = adenosine + L-homocysteine.","MF","adenosylhomocysteinase activity"
"GO:0019510","The chemical reactions and pathways resulting in the breakdown of S-adenosylhomocysteine, forming homocysteine and then methionine.","BP","S-adenosylhomocysteine catabolic process"
"GO:0050734","Catalysis of the transfer of a hydroxycinnamoyl group to an acceptor molecule.","MF","hydroxycinnamoyltransferase activity"
"GO:0090114","The evagination of an endoplasmic reticulum membrane, resulting in formation of a COPII-coated vesicle.","BP","COPII-coated vesicle budding"
"GO:1904263",NA,"BP","positive regulation of TORC1 signaling"
"GO:0000220","The V0 domain of a proton-transporting V-type ATPase found in the vacuolar membrane.","CC","vacuolar proton-transporting V-type ATPase, V0 domain"
"GO:0008940","Catalysis of the reaction: nitrite + acceptor = nitrate + reduced acceptor.","MF","nitrate reductase activity"
"GO:0030151","Interacting selectively and non-covalently with molybdenum (Mo) ions.","MF","molybdenum ion binding"
"GO:0032324","The chemical reactions and pathways resulting in the formation of the molybdopterin cofactor (Moco), essential for the catalytic activity of some enzymes, e.g. sulfite oxidase, xanthine dehydrogenase, and aldehyde oxidase. The cofactor consists of a mononuclear molybdenum (Mo-molybdopterin) or tungsten ion (W-molybdopterin) coordinated by one or two molybdopterin ligands.","BP","molybdopterin cofactor biosynthetic process"
"GO:0035299","Catalysis of the reaction: 1D-myo-inositol 1,3,4,5,6-pentakisphosphate + ATP = 1D-myo-inositol hexakisphosphate + ADP + 2 H(+).","MF","inositol pentakisphosphate 2-kinase activity"
"GO:0016866","Catalysis of the transfer of a functional group from one position to another within a single molecule.","MF","intramolecular transferase activity"
"GO:0071669","A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellulose- and pectin-containing cell wall.","BP","plant-type cell wall organization or biogenesis"
"GO:0003858","Catalysis of the reaction: (R)-3-hydroxybutanoate + NAD(+) = acetoacetate + H(+) + NADH.","MF","3-hydroxybutyrate dehydrogenase activity"
"GO:0019290","The chemical reactions and pathways resulting in the formation of siderophores, low molecular weight Fe(III)-chelating substances made by aerobic or facultatively anaerobic bacteria, especially when growing under iron deficient conditions. The complexes of Fe(3+)-siderophores have very high stability constants and are taken up by specific transport systems by microorganisms; the subsequent release of iron requires enzymatic action.","BP","siderophore biosynthetic process"
